460740400100,Arkport Central School District,Steuben,Central,2013-06-30 00:00:00,524,157725989,7905000,2508839,,706797,64614,,9714,,,,,,,,,,,53984,,,,,,,,,,,,,,,,,35960,,,,,,10583,446,749,,,14740,,,4937,,92860,3504223,,5789826,,,,,,,,,,,,,,268728,,,,50168,,,,,,,9612945,,,,,,9612945,2146170,343322,,,,,4626123,356823,249902,362080,206740,,200,,,,,,,,,,,,,,,,,,,,,,,64016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165460,,387362,,304333,838037,962,3449,46984,2203,2410,13195,597942,299165,11016878,,11016878
130668600100,Arlington Central School District,Dutchess,Independent Superintendent,2013-06-30 00:00:00,9179,5689173016,147045820,111836787,,15028703,69251,,46469,,,,,,,,,,,864206,,,,,,,,,,6037,,,,802489,2185,,,,,,,,175990,149896,2860085,,,86332,,,866921,,1204484,133999835,,48554247,,,,,,,,,,,,,,2696665,,,,553914,,,,,,,185804661,20977435,1888980,,399091,,209070167,12674780,2469745,,1835396,,,85346891,7044642,5452541,10944420,963627,,739419,,,,,,,,,,,,,,,,,,,,,,,397686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3901248,,8067548,,6691662,25024742,,51714,1316469,134510,,2392006,8648980,4320091,188418117,399091,188817208
560603700100,Attica Central School District,Wyoming,Independent Superintendent,2013-06-30 00:00:00,1430,569999280,12164790,7753158,,1849260,106254,,19648,,,,,,,,,,,332402,,,,,,,,,,,,,,1628,,,,,,,,,30814,404,237302,,,8378,,,24906,,333460,10697614,,15182106,,,,,,,,,,,,,,703179,,,,337812,,,,,,,26920711,,,,316063,,27236774,2182423,1170854,,10963,,,11530933,783289,613613,1529484,295472,,10776,,,,,,,,,,,,,,,,,,,,,,,72828,,,,,,,,,,,,,,,,,,,,,,,,3223,,,,,,,,,,,,347528,,1091933,,802987,2836255,244,2594,150310,34816,,56534,2500000,489094,26516153,316063,26832216
050503000000,Auburn City School District,Cayuga,City Public School,2013-06-30 00:00:00,4259,1542607239,46076389,23087602,,4847838,702591,,83947,,,,,,,,,,,154569,,,,,,,,,,117,,,,19348,,,,,,,,,29022,74312,374547,,,3697,,,45115,,3095516,32518221,,33316979,,,,,,,,,,,,,,3585429,,,,1402042,,,,,,,70822671,4000000,80000,,535821,,75438492,8635337,2118266,,,,,35774230,3846900,1166969,2009243,512452,,16699,,,,,,,,,,,,,,,,,,,,,,,45910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792078,,2528082,,1988011,7715701,,1999,311134,44974,,1044010,5172637,1444513,75169145,684821,75853966
090704100100,Ausable Valley Central School District,Clinton,Central,2013-06-30 00:00:00,1147,752589629,40293179,10536655,,1528107,,,23849,,,,,,,,,,,84016,,,,,,,,,,719,,,,,,,,,,,,10384,8593,656,233976,,,7345,,,20484,,180796,12635580,,15731366,,,,,,,,,,,,,,771923,,,,283375,,,,,,,29422244,,1825129,,10536,,31257909,4107311,669209,,2467,,,11501404,832379,615526,1633769,229183,,4475,,,,,,,,,,,,,,,,,,,,,,,82276,,,,,,,,,,,,,,,,,,,,,32500,,,,,,,,,,,,,,,546088,,1088547,,928059,5069235,,,82332,12809,,182482,3767629,673040,32060720,10536,32071256
380674100100,Averill Park Central School District,Rensselaer,Independent Superintendent,2013-06-30 00:00:00,3144,1543707055,24156368,23411274,,3308373,,,45762,,,,,,,,,,,960232,,,,,,,,,,19211,,,,29635,,,,,,,,38988,400879,321640,543553,,,41998,,,144798,,1042953,30309296,,23271084,,,,,,,,,,,,,,1072716,10884,,,360428,,,,,,,55024408,9921568,,,155278,,65101254,3522802,1320060,,4425,,,23944620,2041711,1702086,3510327,481820,,30694,,,,,,,,,,,,,,,,,,,,,,,139485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1308118,,2266000,,1915553,7077641,,,210355,123164,,348621,5542400,1039609,56529491,155279,56684770
460704400100,Avoca Central School District,Steuben,Central,2013-06-30 00:00:00,466,180691901,18740000,1996196,,529153,12386,,7308,,,,,,,,,,,795,,,,,,,,,,47392,,,,,,,,,,,,4553,17597,,106744,,,9881,,,114,,113413,2845532,,8994202,,,,,,,,,,,,,,386083,,,,186656,,,,,,,12412473,,,,229198,,12641671,698969,468388,,,,,4385027,746338,335817,590335,138254,,,,,,,,,,,,,,,,,,,,,,,,,28788,,,,,,,,,,,,,,,,,,,,,8056,,,,,,,,,,,,,,,189003,,410872,,333542,1102996,,1185,67324,,98491,11689,1575000,799665,11989739,229199,12218938
240704500100,Avon Central School District,Livingston,Central,2013-06-30 00:00:00,1028,387787029,11206000,7430540,,1428850,104361,,19733,,,31550,,,,,,,,2520,,,,,,,,,,5944,,,,20082,,,,,,,,,22451,2283,183173,,,4136,,,2500,,189779,9447902,,7435395,,,,,,,,,,,,,,479620,,,,215728,,,,,,,17578645,,80000,,514350,,18172995,1566051,720233,,,,226,6973554,1077134,633401,1017835,325928,,7673,,,,,,,,,,,,,,,,,,,,,,,17732,,,,,,,,,,,,,,,,,,,,,11131,,,,,,,,,,,,,,,234361,,772533,,561548,1309882,129060,,68055,1783,,44955,1775000,412089,17660164,514350,18174514
470604600100,Babylon Union Free School District,Suffolk,Independent Superintendent,2013-06-30 00:00:00,1692,1526908677,15606570,31400010,,4389494,,,,,,,,,,,,,,,,,,,,,,,,229991,,,,42979,,,,,,,,,41011,1500,446203,,,4600,,,270528,,629173,37455489,,7722560,,,,,,,,,,,,,,502724,73377,,,219996,,,,,,,45974146,,,,362762,,46336908,3416439,1215460,,,,,23806187,1706379,1653383,2218911,916064,,7617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800500,,2172437,,1647581,4107157,8142,11140,124188,31269,,7782,1558082,805668,46214386,362762,46577148
080704700100,Bainbridge-Guilford Central School District,Chenango,Central,2013-06-30 00:00:00,797,316351405,6882208,4597579,,1103291,5117,,27817,,,,,,,,,,,80149,,,,,,,,,,30105,,,,,625,,,,,,,,8246,44595,158897,,,3718,,,19675,,84684,6164498,,10062888,,,,,,,,,,,,,,517436,,,,44834,,,,,,,16789656,,,,2168,,16791824,1564624,1016764,,756,,,7306730,758520,365847,769985,254774,,32230,,,,,,,,,,,,,,,,,,,,,,,56719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289934,,599276,,472896,1986301,,,72192,18583,,114350,1077885,166592,16924958,2168,16927126
